COQUELUCHE - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Ano 1º Sintoma(s)
UF de notificação: São Paulo
Período:2018-2025
"Município de notificação";"2012";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"350030 AGUAI";-;-;-;-;-;-;-;-;1;-;1
"350050 AGUAS DE LINDOIA";-;-;-;-;-;-;-;-;1;2;3
"350060 AGUAS DE SAO PEDRO";-;-;-;-;-;-;-;-;3;-;3
"350100 ALTINOPOLIS";-;-;-;1;-;-;-;-;1;1;3
"350115 ALUMINIO";-;-;-;-;-;-;-;-;1;-;1
"350160 AMERICANA";-;1;4;-;-;-;-;-;6;1;12
"350190 AMPARO";-;-;4;2;-;-;-;-;-;-;6
"350210 ANDRADINA";-;-;-;2;-;-;-;-;-;-;2
"350275 ARACARIGUAMA";-;-;1;-;-;-;-;-;-;-;1
"350280 ARACATUBA";-;-;2;-;-;-;-;-;4;-;6
"350320 ARARAQUARA";-;-;-;-;-;-;-;-;3;-;3
"350330 ARARAS";-;-;1;2;1;1;-;-;5;-;10
"350360 AREIOPOLIS";-;-;-;1;-;-;-;-;-;-;1
"350380 ARTUR NOGUEIRA";-;-;-;-;-;-;-;-;1;-;1
"350400 ASSIS";-;-;4;-;-;-;-;-;-;-;4
"350410 ATIBAIA";-;1;4;3;-;-;-;-;2;-;10
"350450 AVARE";-;-;-;-;-;-;-;-;-;1;1
"350530 BARRA BONITA";-;-;1;-;-;-;-;-;-;-;1
"350550 BARRETOS";-;-;2;3;-;-;1;1;16;1;24
"350570 BARUERI";-;-;11;2;-;-;-;-;26;1;40
"350590 BATATAIS";-;-;1;5;-;-;-;-;-;-;6
"350600 BAURU";-;-;10;1;-;-;-;-;11;1;23
"350610 BEBEDOURO";-;-;1;-;-;-;1;-;1;-;3
"350640 BILAC";-;-;-;-;-;-;1;-;-;-;1
"350650 BIRIGUI";-;-;-;1;-;-;-;-;-;1;2
"350700 BOITUVA";-;-;1;-;-;-;-;-;-;-;1
"350740 BORBOREMA";-;-;-;-;-;-;-;-;1;-;1
"350750 BOTUCATU";-;1;7;3;-;2;6;9;16;2;46
"350760 BRAGANCA PAULISTA";-;-;2;-;1;-;-;-;7;-;10
"350840 CABREUVA";-;-;1;-;-;-;-;-;-;-;1
"350850 CACAPAVA";-;-;-;-;-;-;-;-;1;-;1
"350900 CAIEIRAS";-;-;-;-;-;-;-;-;1;-;1
"350945 CAMPINA DO MONTE ALEGRE";-;-;-;1;-;-;-;-;-;-;1
"350950 CAMPINAS";-;9;50;18;3;2;1;3;136;11;233
"350970 CAMPOS DO JORDAO";-;-;-;-;-;-;-;-;1;-;1
"351030 CAPELA DO ALTO";-;-;1;-;-;-;-;-;-;-;1
"351040 CAPIVARI";-;-;3;-;-;-;-;-;-;-;3
"351050 CARAGUATATUBA";-;-;3;-;-;-;-;-;1;-;4
"351060 CARAPICUIBA";-;-;2;-;1;-;-;-;-;-;3
"351110 CATANDUVA";-;-;1;-;-;-;-;-;3;-;4
"351220 CONCHAL";-;-;-;-;-;-;-;-;1;-;1
"351240 CORDEIROPOLIS";-;-;-;-;-;-;-;-;7;-;7
"351300 COTIA";-;-;1;-;-;-;-;-;-;-;1
"351310 CRAVINHOS";-;-;-;-;-;-;-;-;1;-;1
"351340 CRUZEIRO";-;-;2;1;-;-;-;-;-;-;3
"351370 DESCALVADO";-;-;-;-;-;-;-;-;5;-;5
"351380 DIADEMA";-;-;1;2;-;-;-;-;-;-;3
"351440 DRACENA";-;-;-;-;-;-;-;-;3;-;3
"351460 DUMONT";-;-;-;-;-;-;-;-;1;-;1
"351470 ECHAPORA";-;-;-;-;1;-;-;-;2;-;3
"351500 EMBU DAS ARTES";-;-;1;-;-;-;-;-;1;-;2
"351518 ESPIRITO SANTO DO PINHAL";-;-;-;1;-;-;-;-;1;-;2
"351550 FERNANDOPOLIS";-;-;-;-;-;-;-;-;2;-;2
"351620 FRANCA";-;-;2;2;-;-;-;-;5;2;11
"351630 FRANCISCO MORATO";-;-;1;-;-;-;-;-;-;-;1
"351640 FRANCO DA ROCHA";-;-;-;-;-;-;-;-;1;-;1
"351650 GABRIEL MONTEIRO";-;-;1;-;-;-;-;-;-;-;1
"351670 GARCA";-;-;1;-;-;-;-;-;1;-;2
"351820 GUARARAPES";-;1;-;-;-;-;-;-;-;-;1
"351840 GUARATINGUETA";-;-;-;1;-;-;1;-;5;-;7
"351860 GUARIBA";-;-;5;1;-;-;1;-;1;-;8
"351870 GUARUJA";-;-;-;-;-;-;-;-;3;-;3
"351880 GUARULHOS";-;1;5;-;2;-;-;-;7;-;15
"351905 HOLAMBRA";-;-;1;-;-;-;-;1;3;-;5
"351907 HORTOLANDIA";-;-;2;2;-;-;-;-;4;-;8
"351910 IACANGA";-;-;-;1;-;-;-;-;-;-;1
"352050 INDAIATUBA";-;-;-;5;1;-;-;1;5;1;13
"352110 IPEUNA";-;-;-;-;-;-;-;-;1;-;1
"352210 ITANHAEM";-;-;-;-;1;-;-;-;-;-;1
"352220 ITAPECERICA DA SERRA";-;-;3;-;-;-;-;-;3;-;6
"352230 ITAPETININGA";-;-;1;2;-;-;-;-;-;-;3
"352250 ITAPEVI";-;-;1;-;-;-;1;-;-;-;2
"352270 ITAPOLIS";-;-;-;-;-;-;-;-;1;-;1
"352310 ITAQUAQUECETUBA";-;-;4;-;-;-;-;-;-;-;4
"352340 ITATIBA";-;-;1;3;-;-;-;1;4;-;9
"352350 ITATINGA";-;-;-;-;-;-;-;1;-;-;1
"352390 ITU";-;-;-;-;-;-;-;-;1;-;1
"352410 ITUVERAVA";-;-;-;-;-;-;-;1;-;-;1
"352430 JABOTICABAL";-;-;-;-;-;-;-;-;1;-;1
"352440 JACAREI";-;1;4;1;-;-;-;-;7;-;13
"352470 JAGUARIUNA";-;-;1;-;-;-;-;-;3;-;4
"352480 JALES";-;-;1;-;-;-;-;-;-;-;1
"352510 JARDINOPOLIS";-;-;-;-;-;-;-;-;4;-;4
"352520 JARINU";-;-;1;-;-;-;-;-;-;-;1
"352530 JAU";-;1;5;1;-;-;-;-;-;-;7
"352590 JUNDIAI";-;4;14;4;1;-;1;1;2;-;27
"352630 LAGOINHA";-;-;-;-;-;-;-;-;1;-;1
"352650 LAVINIA";-;-;-;-;-;-;-;-;2;-;2
"352670 LEME";-;-;1;1;-;-;-;-;-;-;2
"352680 LENCOIS PAULISTA";-;-;1;-;-;-;-;-;-;-;1
"352690 LIMEIRA";-;-;6;-;-;-;-;-;7;1;14
"352710 LINS";-;-;-;1;-;-;-;-;-;-;1
"352720 LORENA";-;-;1;1;-;-;-;-;-;-;2
"352730 LOUVEIRA";-;-;-;-;-;-;-;-;2;-;2
"352800 MACATUBA";-;1;4;11;1;-;-;-;-;-;17
"352850 MAIRIPORA";-;-;-;-;-;-;-;-;1;-;1
"352900 MARILIA";-;-;1;3;1;-;-;-;4;-;9
"352930 MATAO";-;-;-;-;-;-;-;-;1;-;1
"352940 MAUA";-;-;-;-;-;-;-;3;2;-;5
"353010 MIRANDOPOLIS";-;-;1;-;-;-;-;-;-;-;1
"353050 MOCOCA";-;-;1;-;-;-;-;-;2;-;3
"353060 MOGI DAS CRUZES";-;-;5;-;-;-;-;-;1;1;7
"353070 MOGI GUACU";-;1;2;3;-;-;-;-;9;1;16
"353080 MOGI MIRIM";-;-;-;2;-;-;-;-;2;-;4
"353090 MOMBUCA";-;-;1;-;-;-;-;-;-;-;1
"353120 MONTE ALEGRE DO SUL";-;-;1;-;-;-;-;-;-;-;1
"353180 MONTE MOR";-;-;-;-;-;-;-;-;1;-;1
"353310 NOVA GUATAPORANGA";-;-;-;-;-;-;-;-;-;1;1
"353340 NOVA ODESSA";-;-;1;-;-;-;-;-;2;-;3
"353440 OSASCO";-;-;3;1;1;-;-;1;4;1;11
"353510 PALMARES PAULISTA";-;-;1;-;-;-;-;-;-;-;1
"353530 PALMITAL";-;-;2;-;-;-;-;-;-;-;2
"353620 PARIQUERA-ACU";-;1;-;1;-;-;-;-;-;-;2
