MENINGITE - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Ano 1º Sintoma(s)
Região de notificação: 3 Região Sudeste
UF de notificação: São Paulo
Período:2018-2024
"Município de notificação";"<1975";"1981";"1985";"1990";"1998";"2001";"2004";"2009";"2010";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"350010 ADAMANTINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;2;1;2;-;9
"350030 AGUAI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"350040 AGUAS DA PRATA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"350050 AGUAS DE LINDOIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"350070 AGUDOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;3
"350160 AMERICANA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;63;54;39;11;54;67;17;307
"350170 AMERICO BRASILIENSE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;1;1;1;2;-;10
"350190 AMPARO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;3
"350210 ANDRADINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5;4;3;-;2;4;2;21
"350220 ANGATUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"350250 APARECIDA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"350270 APIAI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"350280 ARACATUBA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;82;78;49;37;76;60;25;409
"350290 ARACOIABA DA SERRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"350320 ARARAQUARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;24;10;6;15;14;4;102
"350330 ARARAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;29;15;9;15;11;-;110
"350340 AREALVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"350390 ARUJA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;6;6;-;4;5;1;24
"350400 ASSIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;11;9;4;6;5;1;44
"350410 ATIBAIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;28;19;3;3;11;14;2;81
