,,,2019,2020,2021,2022,2023,2024,2025
3548401,6324,Santópolis do Aguapeí,0,0,0,0,0,0,0
3548500,6336,Santos,1,1,1,0,0,0,0
3548609,6348,São Bento do Sapucaí,0,0,0,0,0,0,0
3548708,6350,São Bernardo do Campo,0,0,0,1,0,0,0
3548807,6361,São Caetano do Sul,0,0,0,2,1,2,0
3548906,6373,São Carlos,0,0,0,3,1,1,0
3549003,6385,São Francisco,0,0,0,0,0,0,0
3549102,6397,São João da Boa Vista,2,0,1,2,0,1,0
3549201,6403,São João das Duas Pontes,0,0,0,0,0,0,0
3549250,7614,São João de Iracema,0,0,0,0,0,0,0
3549300,6415,São João do Pau D'Alho,0,0,0,0,0,0,0
3549409,6427,São Joaquim da Barra,0,0,0,1,0,0,0
3549508,6440,São José da Bela Vista,0,0,0,0,0,0,0
3549607,6439,São José do Barreiro,0,0,0,0,1,0,0
3549706,6464,São José do Rio Pardo,0,0,0,1,1,0,0
3549805,6476,São José do Rio Preto,5,0,0,2,0,1,0
3549904,6452,São José dos Campos,4,0,0,14,1,3,0
3549953,7729,São Lourenço da Serra,0,0,0,0,0,0,0
3550001,6488,São Luiz do Paraitinga,0,0,0,0,0,0,0
3550100,6490,São Manuel,0,0,0,0,0,0,0
3550209,6506,São Miguel Arcanjo,0,0,0,0,0,0,0
3550308,1004,São Paulo,17,10,9,28,32,25,0
3550407,6518,São Pedro,0,0,0,0,0,0,0
3550506,6520,São Pedro do Turvo,0,0,0,0,0,0,0
3550605,6531,São Roque,0,0,0,0,0,0,0
3550704,6543,São Sebastião,0,2,0,0,0,1,0
3550803,6555,São Sebastião da Grama,0,0,0,0,1,0,0
3550902,6567,São Simão,0,0,0,0,1,0,0
3551009,6579,São Vicente,0,1,0,0,0,1,0
3551108,6580,Sarapuí,0,0,0,0,0,0,0
3551207,6592,Sarutaiá,0,0,0,0,0,0,0
3551306,6609,Sebastianópolis do Sul,0,0,0,0,0,0,0
3551405,6610,Serra Azul,0,0,0,0,0,0,0
3551504,6634,Serrana,0,0,0,1,0,0,0
3551603,6622,Serra Negra,0,0,0,0,0,0,0
3551702,6646,Sertãozinho,0,0,0,0,2,1,0
3551801,6658,Sete Barras,0,0,0,0,0,0,0
3551900,6660,Severínia,0,0,0,1,0,0,0
3552007,6671,Silveiras,0,0,0,0,0,0,0
