PARALISIA FLÁCIDA AGUDA - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Notificações por Município de notificação e Ano 1º Sintoma(s)
Período:2012-2021
"Município de notificação";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"350060 AGUAS DE SAO PEDRO";-;-;-;-;-;1;-;-;-;-;1
"350220 ANGATUBA";-;-;-;-;1;-;-;-;-;-;1
"350280 ARACATUBA";-;-;-;-;-;1;-;-;-;-;1
"350320 ARARAQUARA";1;-;-;-;-;1;1;2;-;-;5
"350330 ARARAS";1;1;-;-;-;-;1;1;-;1;5
"350400 ASSIS";-;-;-;1;-;1;-;1;-;-;3
"350410 ATIBAIA";1;-;-;-;-;-;-;-;-;-;1
"350550 BARRETOS";-;-;-;1;-;-;-;-;-;-;1
"350570 BARUERI";-;1;-;-;-;-;-;3;-;-;4
"350600 BAURU";-;-;2;1;-;-;-;-;-;-;3
"350610 BEBEDOURO";-;-;-;1;-;1;-;-;-;-;2
"350750 BOTUCATU";3;-;-;1;-;-;-;-;-;-;4
"350760 BRAGANCA PAULISTA";-;-;1;-;-;-;1;1;-;-;3
"350950 CAMPINAS";6;3;5;4;1;6;10;5;-;-;40
"351050 CARAGUATATUBA";-;-;1;-;-;-;1;-;-;-;2
"351060 CARAPICUIBA";1;-;-;-;-;-;-;-;-;-;1
"351110 CATANDUVA";-;-;-;2;2;-;1;-;-;-;5
"351340 CRUZEIRO";-;-;-;-;-;-;1;-;-;-;1
"351350 CUBATAO";-;-;-;-;-;-;1;2;-;-;3
"351380 DIADEMA";2;1;1;-;-;-;-;-;-;-;4
"351500 EMBU DAS ARTES";-;-;-;-;-;1;-;-;-;-;1
"351570 FERRAZ DE VASCONCELOS";-;-;1;-;-;-;-;-;-;-;1
"351620 FRANCA";-;1;2;1;-;-;1;-;-;-;5
"351630 FRANCISCO MORATO";1;-;-;-;-;-;2;-;-;-;3
"351840 GUARATINGUETA";1;-;-;-;-;-;-;1;-;-;2
"351870 GUARUJA";-;-;-;-;-;-;1;-;-;-;1
"351880 GUARULHOS";4;1;1;2;1;1;-;-;1;-;11
"352020 IGARATA";-;1;-;-;-;-;-;-;-;-;1
"352040 ILHABELA";-;1;-;-;-;-;-;-;-;-;1
"352220 ITAPECERICA DA SERRA";1;-;1;-;1;-;-;-;-;-;3
"352230 ITAPETININGA";-;-;-;-;-;1;1;1;-;-;3
"352250 ITAPEVI";-;-;1;-;1;-;1;-;-;-;3
"352340 ITATIBA";-;-;-;1;-;-;-;-;-;-;1
"352390 ITU";-;-;-;-;-;-;-;2;-;-;2
"352440 JACAREI";-;-;1;1;-;1;-;-;-;-;3
"352480 JALES";-;-;-;-;2;-;-;-;-;-;2
"352530 JAU";-;-;1;-;-;-;-;-;-;-;1
"352590 JUNDIAI";-;1;2;-;2;2;1;-;2;1;11
"352680 LENCOIS PAULISTA";-;-;1;-;-;-;-;-;-;-;1
"352690 LIMEIRA";-;1;-;-;-;3;-;1;-;-;5
"352720 LORENA";-;-;1;-;-;-;-;-;-;-;1
"352900 MARILIA";2;2;2;1;1;1;-;1;-;-;10
"352940 MAUA";-;1;-;-;-;-;1;-;2;-;4
"353050 MOCOCA";-;-;-;-;-;-;1;-;-;-;1
"353060 MOGI DAS CRUZES";1;1;1;-;-;-;2;-;1;-;6
"353080 MOGI MIRIM";-;-;-;1;-;-;-;-;-;-;1
"353440 OSASCO";1;-;-;-;1;-;1;-;-;-;3
"353470 OURINHOS";-;2;1;1;1;-;-;-;-;-;5
"353620 PARIQUERA-ACU";1;-;2;-;2;2;-;1;-;-;8
"353650 PAULINIA";-;-;-;-;-;-;1;-;-;-;1
"353730 PENAPOLIS";-;-;-;-;-;4;2;1;-;-;7
"353870 PIRACICABA";1;1;-;-;-;-;-;1;-;-;3
"353980 POA";1;-;-;-;-;-;-;-;-;-;1
"354090 PRADOPOLIS";-;-;-;-;-;-;1;-;-;-;1
"354100 PRAIA GRANDE";-;-;-;-;-;-;-;2;-;-;2
"354140 PRESIDENTE PRUDENTE";-;3;1;2;2;-;2;-;-;-;10
"354160 PROMISSAO";1;-;-;-;-;-;-;-;-;-;1
"354340 RIBEIRAO PRETO";4;1;3;3;4;6;5;-;3;-;29
"354390 RIO CLARO";-;-;-;1;-;-;-;-;-;-;1
"354580 SANTA BARBARA D'OESTE";-;-;-;1;-;-;-;-;-;-;1
"354660 SANTA FE DO SUL";2;-;-;-;-;-;-;-;-;-;2
"354780 SANTO ANDRE";-;4;1;-;-;2;-;-;-;-;7
"354850 SANTOS";1;3;2;1;-;-;-;4;1;-;12
"354870 SAO BERNARDO DO CAMPO";-;2;4;1;1;1;1;1;-;-;11
"354910 SAO JOAO DA BOA VISTA";1;-;2;-;-;1;-;1;-;-;5
"354970 SAO JOSE DO RIO PARDO";-;-;1;-;-;-;-;-;-;-;1
"354980 SAO JOSE DO RIO PRETO";9;6;9;9;7;7;3;8;5;-;63
"354990 SAO JOSE DOS CAMPOS";1;-;1;3;1;1;-;4;-;-;11
"355030 SAO PAULO";35;25;29;28;25;28;28;22;14;-;234
"355070 SAO SEBASTIAO";-;-;-;-;-;-;-;-;1;-;1
"355170 SERTAOZINHO";-;-;-;-;-;1;-;-;-;-;1
"355220 SOROCABA";2;2;1;3;1;2;-;3;2;-;16
"355240 SUMARE";-;-;-;-;-;2;-;-;-;-;2
"355250 SUZANO";1;-;-;1;-;-;-;-;-;-;2
"355280 TABOAO DA SERRA";-;-;-;1;-;-;-;-;-;-;1
"355410 TAUBATE";-;-;1;1;2;4;3;-;2;-;13
"355450 TIETE";-;-;-;-;-;-;-;1;-;-;1
"355540 UBATUBA";1;1;-;-;-;-;-;-;-;-;2
"355620 VALINHOS";1;-;-;1;-;-;-;-;-;-;2
"Total";88;66;83;75;59;82;75;70;34;2;634
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Excluídos casos não residentes no Brasil.
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas;
   em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos notificados com atraso)
   e em Seleções Disponíveis assinale os anos dos 1ºs sintomas (ex: nº de casos com início de sintomas 2007); selecione na linha UF de residência,
    na Coluna Ano de 1ºs sintomas, em Períodos disponíveis 2007 até o ano atual e em Seleções assinale Ano de 1ºs sintomas 2007).
  Dados de 2020 e 2021 do Espírito Santo não estão disponíveis neste sistema pois são oriundos do Sistema de Informação e-SUS VS,
    em uso pelo estado desde janeiro de 2020.
  Dados de 2007 atualizados em 20/03/2012.
  Dados de 2008 atualizados em 09/04/2012.
  Dados de 2009 atualizados em 20/03/2012.
  Dados de 2010 atualizados em 18/12/2012.
  Dados de 2011 atualizados em 13/06/2013.
  Dados de 2012 atualizados em 18/03/2014.
  Dados de 2013 a 2014 atualizados em 01/02/2018.
  Dados de 2015 a 2017 atualizados em 11/01/2019.
  Dados de 2018 atualizados em 28/01/2020.
  Dados de 2019 atualizados em 05/03/2021.
  Dados de 2020 a 2021 atualizados em 23/01/2020, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em junho/2021.
 
